length_url,length_hostname,ip,nb_dots,nb_hyphens,nb_at,nb_qm,nb_eq,nb_slash,nb_www,ratio_digits_url,ratio_digits_host,tld_in_subdomain,prefix_suffix,shortening_service,phish_hints,domain_age,dns_record,https_token,google_index,page_rank,web_traffic,label
40,11,0,2,0,0,0,0,5,0,0.1,0.0,0,0,0,0,1184,0,0,1,0,0,1
48,16,0,1,3,0,0,0,4,0,0.0,0.0,0,1,0,0,3476,0,0,0,4,4672316,0
126,50,1,4,1,0,1,3,4,0,0.095238095,0.0,1,1,0,0,3993,0,0,1,0,5707171,1
41,32,0,2,0,0,0,0,3,0,0.0,0.0,0,0,1,0,7296,0,1,1,5,0,1
36,27,0,2,0,0,0,0,3,1,0.0,0.0,0,0,0,0,6989,0,1,0,4,2203390,0
72,24,0,2,7,0,0,0,5,1,0.0,0.0,0,0,0,0,4845,0,0,0,5,5964,0
68,42,1,4,0,0,0,0,4,0,0.161764706,0.0,1,0,0,0,3993,0,0,1,0,5707171,1
163,14,1,4,9,1,0,1,3,1,0.398773006,0.0,0,0,0,1,-1,0,0,1,0,0,1
26,18,0,2,0,0,0,0,3,1,0.0,0.0,0,0,0,0,1170,0,0,0,4,390047,0
64,17,1,2,0,0,0,0,4,0,0.34375,0.0,0,0,0,0,1237,0,0,1,1,0,1
36,28,1,4,0,0,0,0,3,0,0.25,0.321428571,0,0,1,0,5627,0,0,1,5,0,1
61,14,0,2,0,0,0,0,6,0,0.0,0.0,0,0,1,0,3767,0,0,1,0,9264543,1
66,17,1,2,0,0,1,1,4,0,0.212121212,0.0,0,0,0,0,9316,0,1,0,7,13,0
35,26,0,2,0,0,0,0,3,1,0.0,0.0,0,0,0,0,7849,0,1,0,4,0,0
113,24,0,5,0,0,0,1,10,1,0.0,0.0,0,0,0,0,3920,0,0,0,2,0,1
41,34,0,2,4,0,0,0,2,0,0.0,0.0,0,0,0,0,5159,0,0,0,8,0,0
23,12,0,2,1,0,0,0,3,1,0.0,0.0,0,1,0,0,-1,0,0,0,3,74862,0
31,24,0,2,1,0,0,0,2,0,0.0,0.0,0,0,0,1,5230,0,0,0,7,5828226,0
84,30,0,2,2,0,0,0,7,0,0.0,0.0,0,1,0,4,3125,0,0,1,1,0,1
29,17,0,2,0,0,0,0,3,0,0.0,0.0,0,0,0,0,5026,0,0,1,4,544886,1
98,26,1,2,2,0,0,0,9,1,0.295918367,0.0,0,1,0,2,2300,0,0,1,2,0,1
15,8,0,1,0,0,0,0,2,0,0.0,0.0,0,0,0,0,2580,0,0,0,2,1671658,0
65,22,0,2,0,0,0,0,4,0,0.0,0.0,0,0,0,0,5825,0,0,0,7,7698,0
131,27,0,2,1,0,1,1,7,0,0.030534351,0.0,0,1,1,0,8019,0,1,1,4,0,1
50,23,0,2,1,0,0,0,4,1,0.0,0.0,0,1,0,0,7839,0,1,0,6,607,0
51,32,0,2,0,0,0,0,4,0,0.0,0.0,0,0,0,0,2306,0,0,1,0,0,1
45,11,0,3,0,0,0,0,5,1,0.133333333,0.0,0,0,0,0,-1,0,1,0,6,6431,0
159,14,1,2,0,0,1,2,8,0,0.270440252,0.0,0,0,0,0,1500,0,0,1,0,0,1
44,22,1,2,1,0,0,0,4,1,0.227272727,0.1363636359999999,0,1,0,0,2739,0,1,1,6,11657,1
103,19,0,3,1,1,1,1,4,0,0.077669903,0.0,0,0,0,0,134,0,1,1,2,1508317,1
46,20,0,4,0,0,0,0,5,0,0.0,0.0,0,0,0,0,7802,0,0,1,5,0,1
45,16,0,2,0,0,0,0,4,0,0.0,0.0,0,0,0,0,7133,0,1,0,7,12,0
51,26,0,3,0,0,0,0,5,1,0.0,0.0,0,0,0,0,1690,0,0,1,2,0,1
38,19,0,3,0,0,0,0,4,1,0.0,0.0,0,0,0,0,1588,0,0,1,0,0,1
81,27,1,2,0,0,0,0,5,1,0.283950617,0.0,0,0,0,0,5767,0,0,1,2,0,1
112,31,0,2,10,0,0,0,4,0,0.0,0.0,0,0,1,0,7615,0,0,0,5,2190,0
39,16,0,2,0,0,0,0,4,0,0.0,0.0,0,0,0,2,8348,0,1,0,10,1,1
99,15,0,2,2,0,0,0,7,0,0.0808080809999999,0.0,0,0,0,1,8348,0,1,1,10,1,1
45,27,0,2,1,0,0,0,3,1,0.0,0.0,0,0,0,0,6989,0,1,1,4,2203390,0
60,35,0,5,1,0,0,0,4,0,0.033333333,0.057142857,0,1,1,2,5615,0,0,1,5,0,1
74,19,0,3,0,0,0,0,10,0,0.081081081,0.0,0,0,0,0,9327,0,0,0,5,4053,0
61,18,0,3,3,0,0,0,4,1,0.0,0.0,0,1,0,0,3561,0,0,0,4,6010,0
40,32,0,4,0,0,0,0,2,0,0.125,0.15625,0,0,1,0,5614,0,1,0,5,0,1
52,24,0,3,0,0,0,0,4,1,0.038461538,0.0,0,0,0,0,5408,0,0,1,1,0,1
88,24,0,7,1,1,0,0,4,0,0.0,0.0,0,0,1,0,8346,0,1,1,10,1,1
74,12,0,2,0,0,1,1,4,0,0.027027027,0.0,0,0,0,0,5877,0,0,0,5,24587,0
46,16,0,2,1,0,0,0,4,1,0.065217391,0.0,0,1,0,0,2633,0,0,1,7,827,0
54,17,0,3,0,0,0,0,4,1,0.0,0.0,0,0,0,0,6512,0,0,0,4,1680566,0
54,21,0,1,1,0,0,0,6,0,0.0,0.0,0,1,0,1,-1,0,0,1,0,0,1
38,16,0,2,0,0,0,0,4,0,0.0,0.0,0,0,0,0,7134,0,1,1,7,12,0
67,15,0,2,3,0,0,0,5,1,0.0,0.0,0,0,0,0,9394,0,0,0,6,1294,0
62,13,0,5,1,0,0,0,7,0,0.0,0.0,0,1,0,2,5044,0,0,1,0,0,1
59,17,0,3,0,0,0,0,6,0,0.06779661,0.0,0,0,0,1,2573,0,0,1,0,0,1
57,38,0,4,0,0,0,0,3,0,0.01754386,0.026315789,0,0,0,0,1246,0,1,1,4,7048,1
32,12,0,1,1,0,0,0,4,0,0.0,0.0,0,1,0,0,2872,0,0,0,3,8400,0
46,25,0,2,0,0,0,0,5,1,0.0,0.0,0,0,0,0,4537,0,0,1,1,0,1
37,16,0,2,0,0,0,0,4,0,0.0,0.0,0,0,0,0,7133,0,1,0,7,12,0
36,29,0,2,0,0,0,0,2,0,0.027777778,0.034482759,0,0,1,0,7295,0,0,1,5,0,1
52,18,0,2,0,0,0,0,7,0,0.038461538,0.0,0,0,0,1,973,0,0,1,2,8238037,1
32,24,1,2,0,0,0,0,3,0,0.25,0.333333333,0,0,1,0,7296,0,0,1,5,0,1
34,11,0,1,0,0,0,0,3,0,0.0,0.0,0,0,0,0,7491,0,1,0,10,63,0
27,19,0,3,0,0,0,0,3,1,0.0,0.0,0,0,0,0,-1,0,0,0,2,479698,0
92,22,1,2,1,0,0,0,8,0,0.304347826,0.0,0,1,0,3,-1,0,0,1,1,0,1
102,12,0,2,7,0,0,0,7,1,0.058823529,0.0,0,0,0,0,8442,0,0,0,5,43102,0
32,23,0,2,0,0,0,0,3,1,0.0,0.0,0,0,0,0,2277,0,1,0,3,2426481,0
29,20,0,2,0,0,0,0,3,1,0.0,0.0,0,0,0,0,1800,0,1,0,3,0,0
119,24,0,4,1,0,1,0,9,0,0.008403361,0.0,0,1,0,3,-1,0,0,1,4,0,1
59,21,0,2,0,0,0,0,6,1,0.06779661,0.0,0,0,0,1,3952,0,1,0,4,3862928,0
54,19,0,2,2,0,0,0,3,0,0.0,0.0,0,0,0,0,4855,0,0,0,4,128132,0
151,10,1,3,1,1,0,0,3,0,0.271523179,0.0,0,0,0,0,166,0,0,1,0,0,1
84,25,0,3,5,0,0,0,5,1,0.035714286,0.0,0,0,0,0,4093,0,0,0,4,52436,0
55,10,0,3,1,0,0,0,6,0,0.0,0.0,0,1,0,3,-1,0,0,1,2,1080262,1
18,9,0,1,0,0,0,0,3,0,0.0,0.0,0,0,0,0,-1,0,1,0,2,294723,0
39,16,0,2,0,0,0,0,3,1,0.0,0.0,0,0,0,0,8516,0,1,0,10,8,0
28,19,0,2,1,0,0,0,3,1,0.0,0.0,0,1,0,0,7689,0,1,0,3,381695,0
32,16,0,3,1,0,0,0,3,1,0.0,0.0,0,1,0,0,5913,0,0,0,5,86462,0
16,9,0,1,0,0,0,0,2,0,0.0,0.0,0,0,0,0,-1,0,0,0,2,2346124,0
23,12,0,1,0,0,0,0,4,0,0.0,0.0,0,0,0,0,4141,0,0,1,0,0,1
29,21,0,3,0,0,0,0,3,1,0.0,0.0,0,0,0,0,4664,0,0,0,4,0,0
29,20,0,2,0,0,0,0,3,1,0.0,0.0,0,0,0,0,317,0,1,0,0,0,1
41,15,0,2,0,0,0,0,4,1,0.0,0.0,0,0,0,0,4566,0,1,0,5,44445,0
22,6,0,1,0,0,0,0,3,0,0.181818182,0.0,0,0,1,0,-1,0,1,1,9,3523,1
52,14,0,3,0,0,0,0,5,1,0.038461538,0.0,0,0,0,0,657,0,0,1,0,0,1
38,20,0,3,0,0,0,0,6,1,0.026315789,0.0,0,0,0,0,-1,0,0,1,2,9412550,1
30,21,0,3,0,0,0,0,3,1,0.0,0.0,0,0,0,0,-1,0,1,0,2,0,0
76,50,1,4,1,0,0,0,4,0,0.105263158,0.0,1,1,0,0,3993,0,0,1,0,5707171,1
430,13,1,24,0,1,2,10,21,1,0.039534884,0.7692307690000001,1,0,0,3,-1,1,0,1,0,0,1
37,19,0,2,0,0,0,0,3,0,0.0,0.0,0,0,1,0,4823,0,0,1,4,212735,0
73,23,0,3,5,0,0,0,3,0,0.068493151,0.0,0,0,0,0,11046,0,0,0,6,545,0
56,15,0,2,0,0,0,0,5,1,0.107142857,0.0,0,0,0,0,2939,0,0,1,0,0,1
70,13,0,1,7,0,0,0,5,0,0.0,0.0,0,0,0,0,3385,0,1,1,5,12180,0
70,20,0,3,0,0,0,0,5,0,0.0,0.0,1,0,0,0,7802,0,0,1,5,0,1
52,19,0,2,1,0,0,0,5,1,0.076923077,0.0,0,1,0,0,-1,0,0,1,5,241891,0
31,22,0,2,1,0,0,0,3,1,0.0,0.0,0,1,0,0,5366,0,1,0,2,3913090,0
90,19,1,4,0,0,0,0,6,2,0.244444444,0.0,0,0,1,1,2112,0,1,1,1,0,1
45,15,1,3,0,0,0,0,5,0,0.1555555559999999,0.0,0,0,0,0,7156,0,0,0,3,2272,0
55,20,0,3,0,0,0,0,4,1,0.036363636,0.05,0,0,0,0,7602,0,0,0,4,145276,0
65,12,0,3,2,0,0,0,6,1,0.076923077,0.166666667,0,0,0,0,135,0,0,1,0,0,1
41,33,0,2,1,0,0,0,3,0,0.073170732,0.090909091,1,1,0,0,1546,0,0,1,2,4669,1
71,25,1,2,1,0,1,1,4,0,0.169014085,0.0,0,1,0,0,7,0,1,1,0,0,1
83,16,0,2,0,0,1,1,7,0,0.072289157,0.0,0,0,0,1,8348,0,1,1,10,1,1
73,18,1,1,1,0,0,0,5,0,0.342465753,0.0,0,1,0,0,-1,0,0,1,0,0,1
44,30,0,2,2,0,0,0,3,0,0.204545455,0.1,0,0,0,0,184,0,0,1,0,0,1
114,16,0,4,1,0,1,1,8,1,0.052631579,0.0,0,1,0,2,2403,0,0,0,3,819233,1
127,50,1,4,1,0,1,3,4,0,0.157480315,0.0,1,1,0,0,3992,0,1,1,0,5697976,1
99,20,0,4,0,1,1,1,4,0,0.070707071,0.0,0,0,0,0,254,0,0,0,0,0,1
56,20,0,2,1,0,0,0,7,1,0.0,0.0,0,1,0,1,6041,0,0,1,1,0,1
51,17,0,3,0,0,0,0,4,1,0.0,0.0,0,0,0,0,7284,0,1,1,7,2788,0
51,14,0,5,0,0,0,0,4,0,0.0,0.0,0,0,0,3,-1,0,0,1,0,0,1
40,24,0,2,1,0,0,0,5,1,0.0,0.0,0,1,0,0,-1,0,1,0,3,1166803,0
33,14,0,3,0,0,0,0,6,1,0.0,0.0,0,0,0,1,5111,0,0,1,1,5692030,1
88,20,0,2,5,0,0,0,6,0,0.0,0.0,0,0,0,0,8024,0,1,0,5,88431,0
122,18,0,2,0,0,0,0,5,1,0.049180328,0.0,0,0,0,0,5993,0,1,0,7,5488,0
53,20,0,3,0,0,0,0,4,1,0.0,0.0,0,0,0,0,2684,0,0,0,4,188662,0
46,37,0,6,1,0,0,0,3,0,0.086956522,0.108108108,1,1,0,0,725,0,1,1,1,23941,1
36,29,0,2,0,0,0,0,2,0,0.0,0.0,0,0,1,0,7295,0,0,1,5,0,1
31,23,0,2,0,0,0,0,3,1,0.0,0.0,0,0,0,0,3754,0,0,0,4,3847776,0
48,16,0,2,2,0,0,0,6,1,0.0,0.0,0,0,0,0,5381,0,1,0,5,299694,0
101,6,0,2,0,0,1,3,5,0,0.0,0.0,0,0,0,1,3743,0,1,1,2,0,1
41,19,0,3,0,0,0,0,4,1,0.0,0.0,0,0,0,0,5416,0,0,0,3,435027,0
43,35,0,4,0,0,0,0,3,0,0.093023256,0.114285714,0,0,0,1,1901,0,0,1,0,0,1
15,8,0,1,0,0,0,0,2,0,0.0,0.0,0,0,0,0,3937,0,0,0,2,0,0
42,10,0,3,3,0,0,0,3,1,0.071428571,0.0,0,0,0,0,6668,0,0,1,4,1677903,0
51,15,0,1,3,0,0,0,4,0,0.0,0.0,0,0,0,0,4413,0,0,0,5,225825,0
48,27,0,3,3,0,0,0,4,1,0.0,0.0,0,0,0,0,3983,0,0,1,0,0,1
49,19,0,1,0,0,0,0,5,0,0.0,0.0,0,0,0,0,7732,0,0,0,5,81846,0
25,13,0,1,1,0,1,1,3,0,0.0,0.0,0,1,0,0,2647,0,1,0,1,0,1
49,15,0,2,2,0,0,0,5,1,0.020408163,0.0,0,0,1,0,9285,0,1,0,7,121,0
48,25,0,3,1,0,0,0,3,0,0.020833333,0.0,0,0,0,0,8047,0,0,0,5,1577,0
108,25,0,4,1,1,1,0,6,1,0.037037037,0.0,0,1,0,3,531,0,0,1,0,0,1
39,20,0,2,0,0,0,0,4,0,0.0,0.0,0,0,0,0,1028,0,0,1,0,0,1
80,20,0,4,3,0,0,0,5,1,0.0,0.0,0,0,0,0,5334,0,0,1,4,1137149,0
36,17,0,2,1,0,0,0,3,1,0.0,0.0,0,0,0,0,7602,0,0,1,4,2368410,0
28,19,0,2,1,0,0,0,3,1,0.0,0.0,0,1,0,0,6460,0,1,0,4,1119897,0
33,14,0,2,0,0,0,0,3,0,0.060606061,0.0,0,0,0,1,1953,0,1,1,3,4365,1
23,14,0,3,0,0,0,0,3,1,0.0,0.0,0,0,1,0,-1,0,1,0,4,7600,0
77,18,0,2,5,0,0,0,4,1,0.0,0.0,0,0,0,0,5224,0,1,0,8,137,0
342,19,1,5,6,1,0,4,5,1,0.415204678,0.0,0,0,0,1,-1,0,1,1,2,1554194,1
38,29,0,2,1,0,0,0,3,0,0.131578947,0.172413793,0,1,0,0,189,0,1,1,2,0,1
73,22,0,2,5,0,0,0,4,1,0.0,0.0,0,0,0,2,6203,0,0,1,5,38365,0
33,15,0,2,0,0,0,0,4,1,0.0,0.0,0,0,0,0,5639,0,1,0,10,2,0
67,17,0,3,1,0,0,0,6,1,0.0,0.0,0,0,0,0,1785,0,0,1,2,7811868,1
39,18,0,2,0,0,0,0,4,0,0.051282051,0.0,0,0,0,0,6431,0,1,1,5,15489,0
24,15,0,2,0,0,0,0,3,1,0.0,0.0,0,0,0,0,2254,0,1,0,4,219358,0
26,17,0,2,0,0,0,0,3,1,0.0,0.0,0,0,0,0,-1,0,1,0,3,543542,0
39,7,0,2,0,0,0,0,6,0,0.128205128,0.0,0,0,0,0,9253,0,1,0,6,21542,0
62,22,1,3,1,0,0,0,3,1,0.35483871,0.0,0,1,0,0,5825,0,0,1,0,0,1
41,13,0,2,1,0,0,0,4,0,0.0,0.0,0,0,0,2,1899,0,0,1,1,507771,1
40,31,0,2,0,0,0,0,3,0,0.0,0.0,0,0,1,0,7295,0,1,1,5,0,1
51,26,0,3,2,0,0,0,3,1,0.0,0.0,0,1,0,0,4120,0,0,0,3,632334,0
59,12,0,2,3,0,0,0,5,1,0.06779661,0.0,0,0,1,0,3650,0,1,1,5,7053,0
50,20,0,3,0,0,0,0,5,1,0.0,0.0,0,0,0,0,8044,0,1,0,6,2580,0
52,25,0,2,1,0,0,0,4,1,0.057692308,0.04,0,1,0,0,6831,1,0,1,0,0,1
43,15,0,2,1,0,0,0,4,0,0.0,0.0,0,1,0,0,3904,0,0,1,0,0,1
94,42,0,3,4,0,0,0,5,0,0.127659574,0.071428571,1,0,0,0,4183,0,0,1,3,0,1
60,15,0,4,0,0,0,0,4,1,0.0,0.0,0,0,0,0,2403,0,0,0,3,62284,0
18,11,0,1,0,0,0,0,2,0,0.0,0.0,0,0,0,0,-1,0,0,0,2,1111694,0
204,27,0,2,1,0,1,2,5,0,0.132352941,0.0,0,0,1,1,7968,0,1,0,7,892,1
94,24,1,7,0,1,0,0,4,0,0.159574468,0.0,0,0,1,1,8346,0,1,0,10,1,1
41,33,0,4,1,0,0,0,3,0,0.0,0.0,1,1,0,0,-1,0,0,1,0,0,1
19,11,0,2,0,0,0,0,3,0,0.1578947369999999,0.272727273,0,0,0,0,1154,0,0,1,0,0,1
35,22,0,2,1,0,0,0,3,0,0.028571429,0.045454545,0,1,0,0,3608,0,0,1,0,0,1
63,26,0,3,0,0,0,0,6,0,0.0,0.0,0,0,0,0,2870,0,0,1,2,0,1
53,21,0,2,0,0,0,0,6,1,0.075471698,0.0,0,0,0,0,5972,0,0,1,0,0,1
75,44,0,4,3,0,0,0,6,0,0.0,0.0,0,0,1,1,5616,0,0,1,5,0,1
35,27,0,2,0,0,0,0,2,0,0.114285714,0.148148148,0,0,0,0,6381,0,1,1,3,0,1
210,14,0,4,1,0,1,11,3,2,0.066666667,0.0,0,0,0,0,8348,0,1,0,10,1,1
44,13,0,1,2,0,0,0,3,0,0.0,0.0,0,0,0,0,4825,0,1,0,5,128305,0
150,40,1,5,0,0,1,1,4,0,0.4866666670000001,0.0,0,0,0,0,4405,0,0,1,0,0,1
39,22,0,3,1,0,0,0,4,1,0.0,0.0,0,0,0,0,570,0,0,1,2,0,1
64,15,0,2,1,0,0,0,9,1,0.0,0.0,0,1,0,2,3381,0,0,1,2,6240092,1
106,20,1,4,4,0,1,1,7,1,0.160377358,0.0,0,0,0,0,4681,0,1,0,3,4701900,1
34,20,0,2,0,0,0,0,4,0,0.0,0.0,0,0,0,0,-1,0,1,0,0,5496959,1
65,16,0,2,0,0,0,0,4,0,0.0,0.0,0,0,0,0,7133,0,1,0,7,12,0
60,14,0,3,1,0,0,0,8,1,0.033333333,0.142857143,0,1,0,3,2290,0,0,1,2,10725245,1
25,14,0,1,0,0,0,0,4,0,0.0,0.0,0,0,0,0,896,0,0,1,0,0,1
39,21,0,2,0,0,0,0,4,1,0.128205128,0.0,0,0,0,0,6901,0,0,0,5,11507,0
38,15,0,3,1,0,0,0,4,1,0.0,0.0,0,1,0,0,3899,0,0,0,4,207904,0
129,8,0,2,1,0,1,5,6,0,0.023255814,0.0,0,0,0,0,-2,0,1,1,0,9675493,1
52,15,0,2,2,0,0,0,5,1,0.0,0.0,0,1,0,0,9224,0,1,0,5,18386,0
30,14,1,3,0,0,0,0,4,0,0.3666666670000001,0.7857142859999999,1,0,0,0,-1,1,0,1,0,0,1
33,24,0,2,0,0,0,0,3,0,0.0,0.0,0,0,0,0,7449,0,1,0,8,0,0
118,27,1,3,6,0,0,0,5,0,0.0762711859999999,0.0,0,0,0,0,7287,0,0,0,4,0,0
27,20,0,1,1,0,0,0,2,0,0.0,0.0,0,0,0,0,2625,0,0,0,2,8571696,0
78,16,0,3,0,0,0,0,9,0,0.166666667,0.0,0,0,0,0,11192,0,0,0,6,1465,0
35,27,0,2,1,0,0,0,3,0,0.028571429,0.037037037,0,1,0,0,2839,0,0,1,2,0,1
32,18,0,1,1,0,0,0,4,0,0.0,0.0,0,1,0,0,-1,0,0,1,0,5497323,1
64,39,0,5,3,0,0,0,4,0,0.0625,0.102564103,0,0,1,2,5615,0,0,1,5,0,1
38,29,0,2,1,0,0,0,3,0,0.078947368,0.103448276,0,1,0,0,189,0,1,1,2,0,1
24,15,0,3,0,0,0,0,3,1,0.0,0.0,0,0,0,0,4996,0,1,0,4,179875,0
68,15,0,3,0,0,0,0,5,1,0.0,0.0,0,0,0,0,3526,0,0,0,5,24047,0
126,50,1,4,1,0,1,3,5,0,0.166666667,0.0,1,1,0,0,3993,0,1,1,0,5707171,1
41,16,0,2,0,0,0,0,4,0,0.0,0.0,0,0,0,0,7130,0,1,0,7,12,0
48,16,0,2,0,0,0,0,4,0,0.0,0.0,0,0,0,0,7134,0,1,0,7,13,0
29,21,0,2,0,0,0,0,3,1,0.0,0.0,0,0,0,0,3904,0,0,0,2,0,0
24,15,0,2,0,0,0,0,3,1,0.0,0.0,0,0,0,0,2980,0,1,0,2,1168093,0
50,17,0,3,0,0,0,0,4,1,0.02,0.058823529,0,0,0,2,7427,0,1,0,7,193,0
126,50,1,4,1,0,1,3,4,0,0.119047619,0.0,1,1,0,0,3992,0,0,1,0,5697976,1
39,11,0,2,0,0,0,0,6,1,0.0,0.0,0,0,0,0,8627,0,1,0,6,5781,0
102,15,1,1,1,0,0,0,9,0,0.196078431,0.0,0,1,0,3,2047,0,0,1,0,0,1
31,23,0,2,0,0,0,0,3,1,0.064516129,0.086956522,0,0,0,0,2425,0,0,0,2,0,0
86,22,1,3,1,0,1,1,4,1,0.279069767,0.0,0,1,0,0,5826,0,0,1,0,0,1
78,16,0,2,4,0,0,0,8,1,0.102564103,0.0,0,0,0,0,6068,0,1,0,4,4211,0
29,20,0,3,0,0,0,0,3,1,0.0,0.0,0,0,0,0,3477,0,1,0,2,7290834,0
33,12,1,2,0,0,1,0,3,1,0.212121212,0.0,0,0,0,0,8965,0,0,0,8,70,0
27,12,0,1,1,0,0,0,4,0,0.0,0.0,0,1,0,0,7,0,0,0,0,0,1
24,15,0,2,0,0,0,0,3,1,0.0,0.0,0,0,0,0,-1,0,1,0,2,373207,0
39,20,0,2,0,0,0,0,4,1,0.0,0.0,0,0,0,0,6096,0,1,0,4,83476,0
28,21,0,2,1,0,0,0,2,0,0.0,0.0,0,0,0,0,5903,0,0,0,4,0,0
102,24,1,3,0,0,1,2,3,0,0.107843137,0.0,0,0,1,0,5627,0,0,0,5,0,1
43,18,0,2,0,0,0,0,4,1,0.0,0.0,0,0,0,0,4153,0,0,1,4,124314,0
27,19,0,2,0,0,0,0,3,1,0.0,0.0,0,0,0,0,4764,0,0,0,4,199026,0
101,17,0,2,9,0,0,0,7,0,0.079207921,0.0,0,0,0,0,9744,0,0,0,7,962,0
60,28,0,3,3,0,0,0,3,1,0.0,0.0,0,0,0,0,3163,0,0,0,4,1323034,0
38,13,0,3,0,0,1,1,3,1,0.0,0.0,0,0,0,0,-1,0,0,0,4,98458,0
19,10,0,1,0,0,0,0,3,0,0.0,0.0,0,0,0,0,2088,0,1,1,0,0,1
137,15,0,3,0,0,0,0,4,1,0.262773723,0.0,0,0,0,0,4162,0,1,1,5,376041,0
263,179,1,14,1,0,1,1,5,1,0.1292775669999999,0.162011173,1,0,0,1,-1,0,0,1,0,0,1
22,6,0,1,0,0,0,0,3,0,0.181818182,0.0,0,0,1,0,-1,0,1,1,9,3536,1
89,21,0,3,0,0,1,1,6,0,0.011235955,0.0,0,0,0,4,918,0,0,1,0,0,1
28,19,0,2,0,0,0,0,3,1,0.0,0.0,0,0,0,0,5890,0,1,0,3,2487034,0
49,26,0,3,0,0,0,0,3,0,0.020408163,0.0,1,0,0,0,8046,0,0,0,5,1577,0
45,36,0,4,2,0,0,0,3,0,0.066666667,0.083333333,0,0,1,1,5616,0,1,1,5,0,1
30,22,0,2,0,0,0,0,3,0,0.0,0.0,0,0,0,0,5442,0,0,0,2,0,1
54,10,0,2,1,0,0,0,5,0,0.0,0.0,0,1,0,2,3188,0,0,1,2,9820235,1
29,22,0,2,0,0,0,0,2,1,0.0,0.0,0,0,0,0,-1,0,0,0,2,0,0
86,16,0,3,1,1,1,1,6,0,0.0,0.0,0,1,0,1,3977,0,0,1,2,0,1
26,18,0,2,0,0,0,0,3,0,0.076923077,0.111111111,0,0,0,0,1,0,0,1,0,0,1
83,20,1,2,0,0,0,0,4,1,0.108433735,0.0,0,0,0,0,4549,0,1,0,7,146,0
49,28,0,2,1,0,0,0,3,0,0.0,0.0,0,1,0,0,1,0,1,1,0,9657236,1
33,12,1,2,0,0,1,0,3,1,0.212121212,0.0,0,0,0,0,8969,0,0,0,8,70,0
40,18,0,2,0,0,0,0,4,1,0.0,0.0,0,0,0,0,9205,0,0,0,6,692,0
56,18,0,2,3,0,0,0,5,1,0.0,0.0,0,1,0,0,8697,0,0,1,5,25617,0
27,18,0,2,0,0,0,0,3,1,0.0,0.0,0,0,0,0,3873,0,1,0,2,2192611,0
70,33,0,3,4,0,0,0,3,1,0.0,0.0,0,0,1,0,4821,0,0,0,3,151781,0
128,120,0,10,0,0,0,0,3,0,0.0546875,0.058333333,0,0,0,2,65,0,0,1,0,0,1
25,6,0,1,0,0,0,0,3,0,0.12,0.0,0,0,0,0,-1,0,0,1,6,0,1
33,16,0,2,0,0,0,0,4,1,0.0,0.0,0,0,0,0,8517,0,1,0,10,8,0
